名前,日程,種別,緯度,経度,メモ,検索語
1-01 京都駅,Day1,聖地,,,9:00｜2期7話｜駅ビル大階段「えきびるコンサート」の演奏舞台・客席｜京アニグッズストア京都駅店も同じ駅構内。※奈良線は六地蔵まで乗り間違い注意,京都駅ビル 大階段
1-02 六地蔵,Day1,聖地,,,1期｜通学で使う六地蔵駅のベンチ,六地蔵駅
1-03 黄檗,Day1,聖地,,,3期｜3期の新規聖地が集まるエリア（許波多神社＝サリーの実家ほか）｜萬福寺も黄檗駅すぐ,黄檗駅
1-04 中路ベーカリー,Day1,聖地,,,修一のパン,中路ベーカリー 宇治
1-05 セブン-イレブン 宇治黄檗公園前,Day1,聖地,,,2期1話｜久美子たちが下校途中に寄るコンビニ。緑輝がチューバくんのガチャを回す,セブンイレブン 宇治黄檗公園前
1-06 通学路,Day1,聖地,,,黄檗〜莵道高校の通学路｜道の途中なので代表点を1つ決める｜★座標未確定（実測）,莵道高校 宇治
1-07 莵道高校,Day1,聖地,,,北宇治高校のモデル校｜外観のみ。授業・部活の妨げにならないよう配慮,京都府立莵道高等学校
1-08 幸栄堂,Day1,飯,,,久美子があすか先輩宅へ持参した栗まんじゅう（香織先輩のおすすめ）｜🕘〜17:00,幸栄堂 宇治
1-09 宇治駅,Day1,聖地,,,,京阪宇治駅
1-10 志を繋ぐ碑（京アニ追悼碑）,Day1,観光,,,園内の碑の位置を実測する。京都アニメーション放火事件(2019)の犠牲者36名の志を記憶に留める碑。慰霊碑ではないため献花・お供えはご遠慮を（宇治市案内）｜★座標未確定（実測）,お茶と宇治のまち歴史公園
1-11 宇治橋,Day1,聖地,,,久美子たちが渡る橋,宇治橋 宇治市
1-12 宇治橋東詰交差点,Day1,聖地,,,いつも麗奈と久美子が別れる交差点｜交差点の一点を実測する｜★座標未確定（実測）,宇治橋東詰 宇治
1-13 通圓 本店,Day1,飯,,,昼食｜茶そば。宇治橋東詰の老舗茶屋,通圓 宇治
1-14 宇治観光センター,Day1,観光,,,,宇治市観光センター
1-15 宇治神社,Day1,聖地,,,,宇治神社
1-16 水門前,Day1,聖地,,,修一の練習場所｜観流橋の水門前を実測する｜★座標未確定（実測）,観流橋 宇治
1-17 久美子ベンチ,Day1,聖地,,,1期｜久美子が座るベンチ｜施設として存在しないので実測必須（朝霧橋付近）｜★座標未確定（実測）,朝霧橋 宇治
1-18 自販機前,Day1,聖地,,,劇場版 誓いのフィナーレ｜あがた祭の日、秀一と久美子がキスしそうになった場所｜喜撰橋の手前。自販機の位置を実測する｜★座標未確定（実測）,喜撰橋 宇治
1-19 縣神社,Day1,聖地,,,あがた祭の神社,縣神社 宇治
1-20 朝霧橋,Day1,聖地,,,部長失格橋｜隣に宇治十帖モニュメント,朝霧橋 宇治
1-21 平等院鳳凰堂,Day1,観光,,,鳳凰堂内部拝観は別途¥300｜🕘8:30-17:30｜¥600,平等院
1-22 中村藤吉 平等院店,Day1,飯,,,抹茶スイーツ,中村藤吉 平等院店
1-23 宇治川水管橋,Day1,聖地,,,夕方｜2期9話・2期OP｜あすか先輩が『響け！ユーフォニアム』を演奏し、久美子が来て話す河川敷。水管橋の真下に腰掛ける｜橋の真下の河川敷を実測する。京阪三室戸駅から徒歩圏｜★座標未確定（実測）,宇治川水管橋
